zipcode,address,bldgclass,numfloors,bldgdepth,yearbuilt,latitude,longitude
10031.0,515 WEST 149 STREET,Residential,3.0,50.0,1910.0,40.8283225,-73.9464638
10027.0,259 WEST 131 STREET,Residential,3.0,50.0,1899.0,40.8138309,-73.9475014
10024.0,103 WEST 82 STREET,Commercial,,0.0,0.0,40.7841613,-73.9743763
10075.0,304 EAST 78 STREET,Residential,4.0,65.0,1910.0,40.7722734,-73.9552495
10028.0,304 EAST 82 STREET,Residential,3.0,51.0,1925.0,40.7749735,-73.95328
10128.0,303 EAST 90 STREET,Residential,5.0,58.0,1930.0,40.7804091,-73.9492682
10003.0,30 IRVING PLACE,High Rise,12.0,80.0,1912.0,40.7350023,-73.9877208
10034.0,560 ISHAM STREET,Residential,6.0,98.0,1930.0,40.8673861,-73.9196376
10128.0,1744 2 AVENUE,Residential,5.0,63.0,1910.0,40.7807824,-73.9492607
10011.0,210 WEST 21 STREET,High Rise,7.0,91.0,1902.0,40.7429051,-73.9974017
10019.0,400 WEST 59 STREET,High Rise,49.0,0.0,1997.0,40.769166,-73.9857036
10014.0,58 DOWNING STREET,Residential,3.0,32.0,1899.0,40.7288903,-74.0046291
10027.0,322 ST NICHOLAS AVENUE,Commercial,,0.0,0.0,40.8114915,-73.9517551
10024.0,110 RIVERSIDE DRIVE,High Rise,16.0,117.0,1929.0,40.787909,-73.9807125
10035.0,1911 MADISON AVENUE,High Rise,8.0,239.0,1997.0,40.8044324,-73.9406314
10065.0,1210 2 AVENUE,High Rise,2.0,125.0,1973.0,40.763339,-73.9619013
10018.0,520 9 AVENUE,Residential,4.0,60.0,1901.0,40.7562856,-73.9938711
10030.0,211 WEST 141 STREET,Commercial,4.0,78.0,1964.0,40.8196331,-73.9416258
10029.0,1984 2 AVENUE,Residential,5.0,69.0,1910.0,40.7880507,-73.9439647
10029.0,1651 LEXINGTON AVENUE,Residential,5.0,66.0,1910.0,40.7909424,-73.9469344
10029.0,1655 LEXINGTON AVENUE,Commercial,,0.0,0.0,40.7910356,-73.9468657
10029.0,1868 3 AVENUE,Commercial,2.0,65.0,1910.0,40.7898442,-73.9462708
10029.0,127 EAST 107 STREET,High Rise,8.0,130.0,1985.0,40.7933463,-73.946091
10029.0,451 EAST 114 STREET,Residential,3.0,38.0,1899.0,40.7941143,-73.9343853
