borough,cd,schooldist,zipcode,address,bldgclass,landuse,numfloors,bldgdepth,yearbuilt,landmark,latitude,longitude
MN,109.0,6.0,10031.0,515 WEST 149 STREET,C,2.0,3.0,50.0,1910.0,,40.8283225,-73.9464638
MN,110.0,5.0,10027.0,259 WEST 131 STREET,S,4.0,3.0,50.0,1899.0,,40.8138309,-73.9475014
MN,107.0,3.0,10024.0,103 WEST 82 STREET,V,11.0,,0.0,0.0,,40.7841613,-73.9743763
MN,108.0,2.0,10075.0,304 EAST 78 STREET,C,4.0,4.0,65.0,1910.0,,40.7722734,-73.9552495
MN,108.0,2.0,10028.0,304 EAST 82 STREET,A,1.0,3.0,51.0,1925.0,,40.7749735,-73.95328
MN,108.0,2.0,10128.0,303 EAST 90 STREET,C,2.0,5.0,58.0,1930.0,,40.7804091,-73.9492682
MN,106.0,2.0,10003.0,30 IRVING PLACE,O,5.0,12.0,80.0,1912.0,,40.7350023,-73.9877208
MN,112.0,6.0,10034.0,560 ISHAM STREET,C,2.0,6.0,98.0,1930.0,,40.8673861,-73.9196376
MN,108.0,2.0,10128.0,1744 2 AVENUE,C,4.0,5.0,63.0,1910.0,,40.7807824,-73.9492607
MN,104.0,2.0,10011.0,210 WEST 21 STREET,D,3.0,7.0,91.0,1902.0,,40.7429051,-73.9974017
MN,104.0,2.0,10019.0,400 WEST 59 STREET,D,4.0,49.0,0.0,1997.0,,40.769166,-73.9857036
MN,102.0,2.0,10014.0,58 DOWNING STREET,A,1.0,3.0,32.0,1899.0,,40.7288903,-74.0046291
MN,110.0,5.0,10027.0,322 ST NICHOLAS AVENUE,V,11.0,,0.0,0.0,,40.8114915,-73.9517551
MN,107.0,3.0,10024.0,110 RIVERSIDE DRIVE,D,3.0,16.0,117.0,1929.0,,40.787909,-73.9807125
MN,111.0,5.0,10035.0,1911 MADISON AVENUE,D,4.0,8.0,239.0,1997.0,,40.8044324,-73.9406314
MN,108.0,2.0,10065.0,1210 2 AVENUE,O,5.0,2.0,125.0,1973.0,,40.763339,-73.9619013
MN,104.0,2.0,10018.0,520 9 AVENUE,S,4.0,4.0,60.0,1901.0,,40.7562856,-73.9938711
MN,110.0,5.0,10030.0,211 WEST 141 STREET,M,8.0,4.0,78.0,1964.0,,40.8196331,-73.9416258
MN,111.0,4.0,10029.0,1984 2 AVENUE,C,4.0,5.0,69.0,1910.0,,40.7880507,-73.9439647
MN,111.0,4.0,10029.0,1651 LEXINGTON AVENUE,C,4.0,5.0,66.0,1910.0,,40.7909424,-73.9469344
MN,111.0,4.0,10029.0,1655 LEXINGTON AVENUE,V,11.0,,0.0,0.0,,40.7910356,-73.9468657
MN,111.0,4.0,10029.0,1868 3 AVENUE,K,4.0,2.0,65.0,1910.0,,40.7898442,-73.9462708
MN,111.0,4.0,10029.0,127 EAST 107 STREET,D,3.0,8.0,130.0,1985.0,,40.7933463,-73.946091
MN,111.0,4.0,10029.0,451 EAST 114 STREET,C,2.0,3.0,38.0,1899.0,,40.7941143,-73.9343853
MN,111.0,4.0,10029.0,431 EAST 114 STREET,Q,9.0,,0.0,0.0,,40.7942819,-73.9347752
MN,111.0,4.0,10029.0,435 EAST 114 STREET,C,2.0,4.0,64.0,1910.0,,40.794216,-73.9346164
MN,111.0,4.0,10029.0,448 EAST 115 STREET,Q,9.0,,0.0,0.0,,40.7944327,-73.9343598
MN,111.0,4.0,10029.0,433 EAST 114 STREET,C,2.0,4.0,64.0,1910.0,,40.794249,-73.9346958
MN,111.0,4.0,10029.0,446 EAST 115 STREET,G,10.0,,0.0,0.0,,40.7944656,-73.9344392
MN,111.0,4.0,10029.0,265 PLEASANT AVENUE,D,4.0,6.0,44.0,1900.0,,40.7940209,-73.9342554
MN,111.0,4.0,10029.0,336 EAST 112 STREET,D,3.0,8.0,65.0,2021.0,,40.7935894,-73.9382069
MN,111.0,4.0,10035.0,328 EAST 119 STREET,R,3.0,7.0,66.0,2008.0,,40.7982346,-73.9353023
